97.7,75.21,2.6011
97.9,75.832,2.5737
99.5,76.975,2.149
71.6,42.727,7.6717
75.1,44.84,7.1356
79.6,46.924,6.8509
81.4,50.002,6.7674
80.5,52.046,6.6749
84,54.877,6.5519
84.8,57.338,6.477
82.8,58.671,6.4457
86.2,61.025,6.0969
87.9,62.746,5.8175
87.9,65.238,5.3873
88.5,66.871,5.0112
89.8,68.961,4.462
91,70.935,3.8739
94.3,73.045,3.3975
95.7,74.057,3.2772
96.9,75.317,2.7584
99,76.319,2.4015
99.4,76.818,2.2156
99.3,77.679,1.9824
73.6,42.47,7.0385
76.4,44.759,7.6661
75.7,48.061,7.0104
77,50.583,6.8938
79.9,53.018,6.7628
83.5,55.082,6.8196
82,56.921,6.854
81.8,59.176,6.1967
85.9,61.633,6.104
85.6,63.713,5.7837
90.2,66.033,5.4386
88.6,67.967,4.7115
91.2,69.928,4.1176
95.1,71.915,3.6469
95.3,73.388,3.2554
96.9,75.165,2.7199
97.5,75.786,2.4609
99.2,77.09,2.0538
99.3,77.7,1.9115
100,78.314,1.7428
70.1,42.585,7.1217
75.5,45.172,6.3911
80.3,48.062,6.6961
79.5,50.618,6.3404
81.1,53.582,7.1593
83.6,55.256,6.5662
84.6,57.403,6.2781
83,59.867,6.0061
85.2,62.203,6.1762
87.7,64.816,5.4349
88.1,66.246,5.1386
87.8,68.638,4.7213
91.3,70.699,4.0394
93.6,72.679,3.6197
94.2,74.066,3.1663
95.5,75.398,2.5666
98.8,76.662,2.1863
99.3,77.494,1.9819
99.9,78.274,1.712
99.7,78.718,1.5882
73.5,42.906,7.3666
74.5,45.491,7.0224
73,48.685,6.8076
80.8,50.98,6.8759
77.6,53.63,6.7203
81.7,55.371,6.214
82.9,58.004,5.9867
82.8,60.149,6.1951
85,62.294,5.7313
87.3,65.526,5.3216
87.8,66.935,5.1677
88,69.219,4.3528
92.8,71.823,3.9309
93.9,73.264,3.71
95.3,74.869,2.7763
97.6,76.116,2.4435
99.3,77.118,2.047
99.3,77.817,1.8845
99.4,78.426,1.6039
100,79.041,1.4489
71.7,42.853,6.7449
75,45.255,7.209
77.4,48.786,6.6704
78.3,51.559,6.9902
79.9,53.965,6.4992
80.6,56.235,6.2362
80.7,58.39,6.5301
83.9,60.757,5.8733
83.9,63.074,5.38
88.1,65.492,5.3839
90.1,67.802,4.8568
90.9,69.984,4.1031
93.1,72.049,3.7945
95,73.668,3.3021
96.4,75.233,2.754
97.8,76.679,2.3379
99.3,77.557,1.9243
99.4,78.236,1.7436
99.9,78.8,1.5323
99.5,79.292,1.3464
82.2,56.191,6.0936
88.3,57.201,5.9423
88.2,59.186,5.7409
83.8,59.608,5.4299
87.8,60.712,5.5338
89,61.718,5.3375
91.7,62.989,5.1093
92.4,64.016,5.0527
93.5,65.022,4.7981
94.3,65.95,4.7082
94.3,66.25,4.6471
91.5,67.134,4.1415
96.4,68.183,3.8971
94.7,68.921,3.7636
92,69.326,3.9804
95.7,70.518,4.0757
96.7,70.487,3.9555
96.7,71.857,3.1926
98.9,72.075,3.2397
98.1,72.622,3.221
